Designator,Mid X,Mid Y,Rotation,Layer
C1,651.3125,-205.675,180.0,bottom
C10,651.3125,-203.975,180.0,bottom
C11,656.8,-211.5375,270.0,bottom
C12,658.5,-211.5,270.0,bottom
C13,660.2,-211.5,270.0,bottom
C14,662.7375,-189.9,180.0,bottom
C15,657.4,-185.4,90.0,top
C16,665.1,-186.6,90.0,top
C17,656.4,-182.3,180.0,top
C19,652.7,-181.8,180.0,top
C2,651.4375,-198.5,180.0,bottom
C3,662.7625,-191.5,0.0,bottom
C4,670.0,-200.6375,90.0,bottom
C5,661.9,-211.5375,270.0,bottom
C6,674.8,-219.9625,90.0,bottom
C7,676.9,-219.9375,90.0,bottom
C8,669.0,-199.1375,90.0,top
C9,669.0,-202.5375,270.0,top
D1,375.5,-189.1,270.0,bottom
D10,401.7,-265.3,270.0,bottom
D11,413.6,-189.1,270.0,bottom
D12,423.1,-208.1,270.0,bottom
D13,427.9,-227.2,270.0,bottom
D14,418.3,-246.2,270.0,bottom
D15,425.5,-265.3,270.0,bottom
D16,432.6,-189.0,270.0,bottom
D17,442.2,-208.05,270.0,bottom
D18,446.9,-227.2,270.0,bottom
D19,437.4,-246.2,270.0,bottom
D2,380.2,-208.15,270.0,bottom
D20,683.933,-176.079,0.0,top
D21,451.7,-189.1,270.0,bottom
D22,461.2,-208.15,270.0,bottom
D23,465.9,-227.2,270.0,bottom
D24,456.4,-246.25,270.0,bottom
D26,470.8,-189.1,270.0,bottom
D27,480.3,-208.1,270.0,bottom
D28,485.0,-227.2,270.0,bottom
D29,475.5,-246.2,270.0,bottom
D3,382.6,-227.1,270.0,bottom
D30,496.9,-265.3,270.0,bottom
D31,489.7,-189.1,270.0,bottom
D32,499.3,-208.1,270.0,bottom
D33,504.1,-227.2,270.0,bottom
D34,494.5,-246.3,270.0,bottom
D36,508.8,-189.1,270.0,bottom
D37,518.4,-208.2,270.0,bottom
D38,523.1,-227.1,270.0,bottom
D39,513.6,-246.2,270.0,bottom
D4,387.3,-246.25,270.0,bottom
D41,527.8,-189.1,270.0,bottom
D42,537.4,-208.1,270.0,bottom
D43,542.1,-227.2,270.0,bottom
D44,532.7,-246.3,270.0,bottom
D46,546.9,-189.1,270.0,bottom
D47,556.4,-208.1,270.0,bottom
D48,561.2,-227.2,270.0,bottom
D49,551.7,-246.2,270.0,bottom
D5,377.8,-265.3,270.0,bottom
D50,568.3,-265.25,270.0,bottom
D51,566.0,-189.1,270.0,bottom
D52,575.5,-208.2,270.0,bottom
D53,580.2,-227.2,270.0,bottom
D54,570.7,-246.25,270.0,bottom
D55,592.1,-265.3,270.0,bottom
D56,585.0,-189.1,270.0,bottom
D57,594.6,-208.15,270.0,bottom
D58,599.3,-227.2,270.0,bottom
D59,589.8,-246.3,270.0,bottom
D6,394.5,-189.1,270.0,bottom
D60,615.9,-265.3,270.0,bottom
D61,604.1,-189.1,270.0,bottom
D62,613.6,-208.1,270.0,bottom
D64,613.6,-246.3,270.0,bottom
D65,639.7,-265.3,270.0,bottom
D66,632.7,-189.1,270.0,bottom
D67,637.4,-208.15,270.0,bottom
D68,630.3,-227.15,270.0,bottom
D69,639.8,-246.2,270.0,bottom
D7,404.0,-208.1,270.0,bottom
D71,677.4,-176.1,0.0,top
D8,408.8,-227.1,270.0,bottom
D9,690.398,-176.079,0.0,top
IC1,661.45,-182.475,180.0,top
IC2,687.573,-192.679,270.0,top
J1,647.1,-175.514,180.0,top
J2,678.0,-209.8,90.0,top
J3,680.673,-203.979,90.0,top
J4,688.793,-182.349,90.0,top
J5,670.473,-174.6,180.0,bottom
J6,670.473,-180.5,180.0,bottom
K1,369.598,-184.404,0.0,top
K10,541.048,-184.404,0.0,top
K11,560.098,-184.404,0.0,top
K12,579.148,-184.404,0.0,top
K13,598.198,-184.404,0.0,top
K14,626.773,-184.404,0.0,top
K15,374.3605,-203.454,0.0,top
K16,398.173,-203.454,0.0,top
K17,417.223,-203.454,0.0,top
K18,436.273,-203.454,0.0,top
K19,455.323,-203.454,0.0,top
K2,388.648,-184.404,0.0,top
K20,474.373,-203.454,0.0,top
K21,493.423,-203.454,0.0,top
K22,512.473,-203.454,0.0,top
K23,531.523,-203.454,0.0,top
K24,550.573,-203.454,0.0,top
K25,569.623,-203.454,0.0,top
K26,588.673,-203.454,0.0,top
K27,607.723,-203.454,0.0,top
K28,631.5355,-203.454,0.0,top
K29,376.74302,-222.504,0.0,top
K3,407.698,-184.404,0.0,top
K30,402.9355,-222.504,0.0,top
K31,421.9855,-222.504,0.0,top
K32,441.0355,-222.504,0.0,top
K33,460.0855,-222.504,0.0,top
K34,479.1355,-222.504,0.0,top
K35,498.1855,-222.504,0.0,top
K36,517.2355,-222.504,0.0,top
K37,536.2855,-222.504,0.0,top
K38,555.3355,-222.504,0.0,top
K39,574.3855,-222.504,0.0,top
K4,426.748,-184.404,0.0,top
K40,593.4355,-222.504,0.0,top
K41,624.4235,-222.504,0.0,top
K42,381.50552,-241.554,0.0,top
K43,412.4605,-241.554,0.0,top
K44,431.5105,-241.554,0.0,top
K45,450.5605,-241.554,0.0,top
K46,469.6105,-241.554,0.0,top
K47,488.6605,-241.554,0.0,top
K48,507.7105,-241.554,0.0,top
K49,526.7605,-241.554,0.0,top
K5,445.798,-184.404,0.0,top
K50,545.8105,-241.554,0.0,top
K51,564.8605,-241.554,0.0,top
K52,583.9105,-241.554,0.0,top
K53,607.723,-241.554,0.0,top
K54,633.858,-241.554,0.0,top
K55,371.98052,-260.604,0.0,top
K56,395.79426,-260.604,0.0,top
K57,419.608,-260.604,0.0,top
K58,491.0355,-260.604,0.0,top
K59,562.4205,-260.604,0.0,top
K6,464.848,-184.404,0.0,top
K60,586.233,-260.604,0.0,top
K61,610.0455,-260.604,0.0,top
K62,633.858,-260.604,0.0,top
K7,483.898,-184.404,0.0,top
K8,502.948,-184.404,0.0,top
K9,521.998,-184.404,0.0,top
R1,689.61,-212.1,0.0,bottom
R10,683.1,-177.8,0.0,top
R2,655.4,-184.7,270.0,top
R3,648.0,-181.1,90.0,bottom
R4,646.9,-181.1,90.0,bottom
R6,678.09,-178.0,0.0,top
R7,664.99,-181.1,0.0,top
R9,689.973,-178.279,180.0,bottom
SW2,656.873,-176.579,0.0,top
U1,660.6,-200.7,180.0,bottom
U2,661.4,-186.6,0.0,top
U3,670.395,-242.3,270.0,top
X2,672.5,-200.7375,270.0,top
