Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",346.265000,-114.725000,-90.000000,bottom
"C2","100nF","C_0603_1608Metric",327.275000,-114.725000,-90.000000,bottom
"C3","100nF","C_0603_1608Metric",308.185000,-114.725000,-90.000000,bottom
"C4","100nF","C_0603_1608Metric",284.395000,-114.725000,-90.000000,bottom
"C5","100nF","C_0603_1608Metric",258.005000,-114.725000,-90.000000,bottom
"C6","100nF","C_0603_1608Metric",234.315000,-114.825000,-90.000000,bottom
"C7","100nF","C_0603_1608Metric",162.931500,-114.889580,-90.000000,bottom
"C8","100nF","C_0603_1608Metric",91.435000,-114.725000,-90.000000,bottom
"C9","100nF","C_0603_1608Metric",67.551500,-114.589580,-90.000000,bottom
"C10","100nF","C_0603_1608Metric",44.161500,-114.589580,-90.000000,bottom
"C11","2.2uF","C_0603_1608Metric",343.795000,-48.631666,-90.000000,bottom
"C12","100nF","C_0402_1005Metric",331.205000,-55.985000,180.000000,bottom
"C13","1uF","C_0603_1608Metric",342.121666,-52.585000,0.000000,bottom
"C14","100nF","C_0603_1608Metric",208.445000,-111.955000,180.000000,bottom
"C15","100nF","C_0603_1608Metric",216.595000,-112.435000,180.000000,bottom
"C16","10uF","C_0603_1608Metric",340.265000,-58.921666,-90.000000,bottom
"C17","100nF","C_0603_1608Metric",222.275000,-103.255000,-90.000000,bottom
"C19","100nF","C_0603_1608Metric",139.631500,-51.699580,90.000000,bottom
"C20","100nF","C_0603_1608Metric",159.029580,-51.758500,90.000000,bottom
"C21","100nF","C_0603_1608Metric",178.219580,-51.658500,90.000000,bottom
"C22","100nF","C_0603_1608Metric",197.309580,-51.658500,90.000000,bottom
"C23","100nF","C_0603_1608Metric",216.399580,-51.648500,90.000000,bottom
"C24","100nF","C_0603_1608Metric",235.389580,-51.748500,90.000000,bottom
"C25","100nF","C_0603_1608Metric",254.479580,-51.648500,90.000000,bottom
"C26","100nF","C_0603_1608Metric",273.369580,-51.648500,90.000000,bottom
"C27","100nF","C_0603_1608Metric",296.059580,-51.648500,90.000000,bottom
"C28","100nF","C_0603_1608Metric",298.321500,-38.509580,-90.000000,bottom
"C29","100nF","C_0603_1608Metric",270.031500,-38.509580,-90.000000,bottom
"C30","100nF","C_0603_1608Metric",251.041500,-38.509580,-90.000000,bottom
"C31","100nF","C_0603_1608Metric",231.951500,-38.509580,-90.000000,bottom
"C32","100nF","C_0603_1608Metric",212.861500,-38.509580,-90.000000,bottom
"C33","100nF","C_0603_1608Metric",193.771500,-38.519580,-90.000000,bottom
"C34","100nF","C_0603_1608Metric",174.781500,-38.519580,-90.000000,bottom
"C35","100nF","C_0603_1608Metric",155.691500,-38.519580,-90.000000,bottom
"C36","100nF","C_0603_1608Metric",136.701500,-38.519580,-90.000000,bottom
"C37","100nF","C_0603_1608Metric",117.611500,-38.519580,-90.000000,bottom
"C38","100nF","C_0603_1608Metric",98.405875,-38.444580,-90.000000,bottom
"C39","100nF","C_0603_1608Metric",79.541500,-38.569580,-90.000000,bottom
"C40","100nF","C_0603_1608Metric",60.541500,-38.519580,-90.000000,bottom
"C41","100nF","C_0603_1608Metric",41.751500,-38.419580,-90.000000,bottom
"C42","100nF","C_0603_1608Metric",41.109580,-51.638500,90.000000,bottom
"C43","100nF","C_0603_1608Metric",64.271500,-51.729580,90.000000,bottom
"C44","100nF","C_0603_1608Metric",82.681500,-51.729580,90.000000,bottom
"C45","100nF","C_0603_1608Metric",102.279580,-51.628500,90.000000,bottom
"C46","100nF","C_0603_1608Metric",120.769580,-51.728500,90.000000,bottom
"C48","100nF","C_0603_1608Metric",296.221500,-76.729580,-90.000000,bottom
"C49","100nF","C_0603_1608Metric",265.331500,-76.629580,-90.000000,bottom
"C50","100nF","C_0603_1608Metric",246.241500,-76.629580,-90.000000,bottom
"C51","100nF","C_0603_1608Metric",227.151500,-76.629580,-90.000000,bottom
"C52","100nF","C_0603_1608Metric",208.161500,-76.629580,-90.000000,bottom
"C53","100nF","C_0603_1608Metric",189.071500,-76.539580,-90.000000,bottom
"C54","100nF","C_0603_1608Metric",170.081500,-76.639580,-90.000000,bottom
"C55","100nF","C_0603_1608Metric",150.891500,-76.539580,-90.000000,bottom
"C56","100nF","C_0603_1608Metric",132.001500,-76.539580,-90.000000,bottom
"C57","100nF","C_0603_1608Metric",112.911500,-76.539580,-90.000000,bottom
"C58","100nF","C_0603_1608Metric",93.721500,-76.539580,-90.000000,bottom
"C59","100nF","C_0603_1608Metric",74.731500,-76.639580,-90.000000,bottom
"C60","100nF","C_0603_1608Metric",48.841500,-76.439580,-90.000000,bottom
"C61","100nF","C_0603_1608Metric",48.819580,-89.618500,90.000000,bottom
"C62","100nF","C_0603_1608Metric",78.261500,-89.839580,90.000000,bottom
"C63","100nF","C_0603_1608Metric",97.299580,-89.808500,90.000000,bottom
"C64","100nF","C_0603_1608Metric",116.389580,-89.808500,90.000000,bottom
"C65","100nF","C_0603_1608Metric",135.279580,-89.808500,90.000000,bottom
"C66","100nF","C_0603_1608Metric",154.369580,-89.808500,90.000000,bottom
"C67","100nF","C_0603_1608Metric",173.459580,-89.808500,90.000000,bottom
"C68","100nF","C_0603_1608Metric",192.549580,-89.808500,90.000000,bottom
"C69","100nF","C_0603_1608Metric",211.539580,-89.808500,90.000000,bottom
"C70","100nF","C_0603_1608Metric",230.629580,-89.808500,90.000000,bottom
"C71","100nF","C_0603_1608Metric",249.719580,-89.808500,90.000000,bottom
"C72","100nF","C_0603_1608Metric",285.409580,-89.808500,90.000000,bottom
"C73","100nF","C_0603_1608Metric",321.099580,-89.898500,90.000000,bottom
"C74","100nF","C_0603_1608Metric",338.989580,-89.898500,90.000000,bottom
"C93","1uF","C_0603_1608Metric",336.405000,-47.805000,0.000000,bottom
"D1","D","D_SOD-123",31.102369,-40.320247,-90.000000,bottom
"D2","D","D_SOD-123",50.240573,-40.345678,-90.000000,bottom
"D3","D","D_SOD-123",69.202409,-40.320281,-90.000000,bottom
"D4","D","D_SOD-123",88.252409,-40.320281,-90.000000,bottom
"D5","D","D_SOD-123",107.302409,-40.320281,-90.000000,bottom
"D6","D","D_SOD-123",126.352409,-40.320281,-90.000000,bottom
"D7","D","D_SOD-123",145.402409,-40.320281,-90.000000,bottom
"D8","D","D_SOD-123",164.452409,-40.320281,-90.000000,bottom
"D9","D","D_SOD-123",183.502409,-40.320281,-90.000000,bottom
"D10","D","D_SOD-123",202.552409,-40.320281,-90.000000,bottom
"D11","D","D_SOD-123",221.602409,-40.320281,-90.000000,bottom
"D12","D","D_SOD-123",240.652409,-40.320281,-90.000000,bottom
"D13","D","D_SOD-123",259.702409,-40.320281,-90.000000,bottom
"D14","D","D_SOD-123",288.277409,-40.320281,-90.000000,bottom
"D15","D","D_SOD-123",223.983659,-116.520281,-90.000000,bottom
"D16","D","D_SOD-123",35.864909,-59.370281,-90.000000,bottom
"D17","D","D_SOD-123",59.677409,-59.370281,-90.000000,bottom
"D18","D","D_SOD-123",78.727409,-59.370281,-90.000000,bottom
"D19","D","D_SOD-123",97.777409,-59.370281,-90.000000,bottom
"D20","D","D_SOD-123",116.827409,-59.370281,-90.000000,bottom
"D21","D","D_SOD-123",135.877409,-59.370281,-90.000000,bottom
"D22","D","D_SOD-123",154.927409,-59.370281,-90.000000,bottom
"D23","D","D_SOD-123",173.977409,-59.370281,-90.000000,bottom
"D24","D","D_SOD-123",193.027409,-59.370281,-90.000000,bottom
"D25","D","D_SOD-123",212.077409,-59.370281,-90.000000,bottom
"D26","D","D_SOD-123",231.127409,-59.370281,-90.000000,bottom
"D27","D","D_SOD-123",250.177409,-59.370281,-90.000000,bottom
"D28","D","D_SOD-123",269.227409,-59.370281,-90.000000,bottom
"D29","D","D_SOD-123",293.039909,-59.370281,-90.000000,bottom
"D30","PRTR5V0U2X","SOT-143",322.931666,-47.705000,0.000000,bottom
"D31","D","D_SOD-123",38.246159,-78.420281,-90.000000,bottom
"D32","D","D_SOD-123",64.439909,-78.420281,-90.000000,bottom
"D33","D","D_SOD-123",83.489909,-78.420281,-90.000000,bottom
"D34","D","D_SOD-123",102.539909,-78.420281,-90.000000,bottom
"D35","D","D_SOD-123",121.589909,-78.420281,-90.000000,bottom
"D36","D","D_SOD-123",140.639909,-78.420281,-90.000000,bottom
"D37","D","D_SOD-123",159.689909,-78.420281,-90.000000,bottom
"D38","D","D_SOD-123",178.739909,-78.420281,-90.000000,bottom
"D39","D","D_SOD-123",197.789909,-78.420281,-90.000000,bottom
"D40","D","D_SOD-123",216.839909,-78.420281,-90.000000,bottom
"D41","D","D_SOD-123",235.889909,-78.420281,-90.000000,bottom
"D42","D","D_SOD-123",254.939909,-78.420281,-90.000000,bottom
"D43","D","D_SOD-123",285.896159,-78.420281,-90.000000,bottom
"D46","D","D_SOD-123",43.008659,-97.470281,-90.000000,bottom
"D47","D","D_SOD-123",73.964909,-97.470281,-90.000000,bottom
"D48","D","D_SOD-123",93.014909,-97.470281,-90.000000,bottom
"D49","D","D_SOD-123",112.064909,-97.470281,-90.000000,bottom
"D50","D","D_SOD-123",131.114909,-97.470281,-90.000000,bottom
"D51","D","D_SOD-123",150.164909,-97.470281,-90.000000,bottom
"D52","D","D_SOD-123",169.214909,-97.470281,-90.000000,bottom
"D53","D","D_SOD-123",188.264909,-97.470281,-90.000000,bottom
"D54","D","D_SOD-123",207.314909,-97.470281,-90.000000,bottom
"D55","D","D_SOD-123",226.364909,-97.470281,-90.000000,bottom
"D56","D","D_SOD-123",245.414909,-97.470281,-90.000000,bottom
"D57","D","D_SOD-123",281.133659,-97.470281,-90.000000,bottom
"D58","D","D_SOD-123",316.850809,-97.571307,-90.000000,bottom
"D59","D","D_SOD-123",335.914032,-97.470537,-90.000000,bottom
"D61","D","D_SOD-123",33.483659,-116.520281,-90.000000,bottom
"D62","D","D_SOD-123",57.296159,-116.520281,-90.000000,bottom
"D63","D","D_SOD-123",81.108659,-116.520281,-90.000000,bottom
"D64","D","D_SOD-123",152.546159,-116.520281,-90.000000,bottom
"D65","D","D_SOD-123",247.796159,-116.520281,-90.000000,bottom
"D66","D","D_SOD-123",271.608659,-116.520281,-90.000000,bottom
"D67","D","D_SOD-123",297.816340,-116.519657,-90.000000,bottom
"D68","D","D_SOD-123",316.865270,-116.521122,-90.000000,bottom
"D69","D","D_SOD-123",335.914927,-116.520281,-90.000000,bottom
"IC1","TXU0101DCKR","SOT65P210X110-6N",204.805540,-113.719040,90.000000,bottom
"IC2","W25Q64JVXGIQ_TR","SON80P400X400X50-9N",205.269580,-108.346834,90.000000,bottom
"R1","10K","R_0603_1608Metric",331.795000,-52.985000,180.000000,bottom
"R2","10K","R_0603_1608Metric",331.765000,-54.515000,180.000000,bottom
"U2","MS88SF2","XCVR_MS88SF2",190.991230,-115.856172,-90.000000,bottom
"U3","74HC595","TSSOP-16_4.4x5mm_P0.65mm",128.336820,-115.252589,-90.000000,bottom
"U4","74HC595","TSSOP-16_4.4x5mm_P0.65mm",268.535000,-97.795000,180.000000,bottom
